,0
elec,43460983.979767695
coal,1631980.6128340536
biomass,0.0
methane,39118013.54420753
hydrogen,16687610.201499997
heat,0.0
naphtha,161149779.33871678
ammonia,0.0
process emission,27119942.160872474
process emission from feedstock,40287444.834679194
process heat,33490017.016780447
lowT process heat,11500532.729826184
mediumT process heat,2250937.2078525666
highT process heat,19744568.82011937
furnaces heat,17375462.86972251
