,0
ammonia,0.0
biomass,0.0
coal,1631980.6128340536
elec,214754185.54301006
furnaces heat,27353881.43242511
heat,7930052.6754644215
highT process heat,43033655.09011878
hydrogen,34020751.401499994
lowT process heat,67910524.34490967
mediumT process heat,47651927.523118675
methane,39118013.54420753
naphtha,161149779.33871678
process emission,29605601.76233024
process emission from feedstock,40287444.834679194
process heat,158621140.0722436
production (kt),
