NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,straw
EL63,31.125600000000002,3.5172000000000003,8.3088,36.126000000000005,0.0,44.8836,140.2164
EL64,31.132800000000003,3.699,8.3088,36.3348,0.0,45.7314,148.2948
EL65,31.1004,3.69,8.3088,36.18,0.0,45.754200000000004,124.542
ES,,,,,,443.77559999999994,
ES11,35.589600000000004,4.4568,10.4256,33.8112,0.0,37.437599999999996,116.3844
ES12,35.6904,4.3038,10.4256,19.738799999999998,0.0,39.0048,116.4888
ES13,35.66160000000001,4.1166,10.4256,19.7604,0.0,37.7052,113.4576
ES21,35.607600000000005,4.2822,10.4256,19.71,0.0,36.2676,126.0504
ES22,35.5932,4.2786,10.4256,34.8012,0.0,37.599,134.5968
ES23,35.6004,4.0986,10.4256,33.7896,0.0,39.7182,125.1756
ES24,35.6148,4.644,10.4256,37.166399999999996,0.0,41.992200000000004,126.342
ES30,35.5968,4.1004000000000005,10.4256,35.477999999999994,0.0,48.18359999999999,128.7252
ES41,35.5968,4.8186,10.4256,34.488,0.0,42.2094,128.6316
ES42,35.5824,4.455,10.4256,35.9352,0.0,46.3896,143.0712
ES43,35.5968,4.458600000000001,10.4256,35.769600000000004,0.0,45.55859999999999,135.85320000000002
ES51,35.64,4.6512,10.4256,35.247600000000006,0.0,39.4014,136.31400000000002
ES52,35.5824,4.2749999999999995,10.4256,34.506,0.0,42.999,137.2392
ES53,35.5968,4.0986,10.4256,33.5484,0.0,41.306400000000004,129.0852
ES61,35.6004,4.8204,10.4256,35.5176,0.0,43.660199999999996,134.1612
ES62,35.5824,4.095,10.4256,36.3888,0.0,48.434400000000004,136.0332
ES63,,,10.1988,2.2644,0.0,52.6248,44.4132
ES64,,,,1.9332000000000003,0.0,52.6248,96.8292
ES70,,,,18.6156,0.0,52.6248,98.5716
FI,,,,,,392.92560000000003,
FI19,38.4444,3.7404,10.4256,46.0296,0.162,34.353,71.55720000000001
FI1B,38.82599999999999,3.3030000000000004,10.4256,20.494799999999998,0.162,34.179,74.3364
FI1C,38.836800000000004,3.6648,10.4256,20.473200000000002,0.162,35.3076,74.3832
FI1D,38.82599999999999,4.743,9.997200000000001,42.6456,0.162,28.0254,50.7456
FI20,38.82599999999999,3.123,9.5328,18.3636,0.162,46.126200000000004,51.0444
FR,,,,,,362.07360000000006,
FR10,31.9788,3.6270000000000002,12.204,43.32600000000001,0.2628,34.0644,120.9708
FR21,31.986,3.8070000000000004,12.204,45.2448,0.2628,34.479,117.324
FR22,31.9788,3.6270000000000002,12.204,45.234,0.2628,34.347,123.06240000000001
FR23,31.9824,3.6270000000000002,12.204,43.4664,0.2628,34.0518,117.1944
FR24,31.9788,3.8051999999999997,12.204,43.9632,0.2628,34.5,124.2792
FR25,31.9788,3.6270000000000002,12.204,44.5644,0.2628,33.9558,120.5856
FR26,31.986,3.9888,12.204,43.333200000000005,0.2628,34.1856,117.33120000000001
FR30,31.9788,3.6270000000000002,12.204,43.1208,0.2628,34.209,119.8332
FR41,31.9788,3.8070000000000004,12.204,43.146,0.2628,34.2072,113.63400000000001
FR42,31.9896,3.8088,12.204,41.57640000000001,0.2628,34.455000000000005,117.4608
FR43,31.9788,3.8070000000000004,12.204,43.3116,0.2628,33.921,119.34
FR51,31.986,3.6270000000000002,12.204,43.1568,0.2628,34.2048,122.0616
FR52,31.9788,3.6270000000000002,10.285200000000001,41.9292,0.2628,33.939,116.6364
FR53,31.9788,3.8070000000000004,10.285200000000001,43.257600000000004,0.2628,34.7226,122.76
FR61,31.9968,4.1706,10.285200000000001,44.5968,0.2628,34.3362,109.9692
FR62,32.04,3.8232000000000004,10.285200000000001,42.7068,0.2628,35.1246,116.69040000000001
FR63,31.9824,3.8070000000000004,10.285200000000001,43.956,0.2628,33.854400000000005,109.9512
FR71,32.147999999999996,4.030200000000001,10.285200000000001,44.4384,0.2628,35.7684,122.2416
FR72,31.9788,3.8070000000000004,10.285200000000001,43.614000000000004,0.2628,34.549200000000006,129.8196
FR81,32.0148,3.8160000000000003,10.285200000000001,19.994400000000002,0.2628,38.0862,129.1284
FR82,32.13,3.8466,10.285200000000001,20.0196,0.2628,38.6676,131.8032
FR83,32.1732,3.6792000000000002,10.285200000000001,20.0016,0.2628,39.3468,119.0016
FRA1,,,,17.4312,0.2628,54.2655,94.63680000000001
FRA2,,,,16.0488,0.2628,54.2655,94.08600000000001
FRA3,,,,20.026799999999998,0.2628,54.2655,93.72240000000001
FRA4,,,,19.9296,0.2628,54.2655,93.22200000000001
HR,,,,,,317.3148,
HR03,16.1496,,,,0.1116,28.862399999999997,
HR04,16.1496,,,,0.1116,28.862399999999997,
HU,,,,,,359.3016,
HU10,18.8964,4.0878000000000005,10.285200000000001,31.532400000000003,0.0108,27.302400000000006,85.06800000000001
HU21,18.9,4.0878000000000005,10.285200000000001,30.596400000000003,0.0108,28.029600000000002,87.6132
HU22,18.882,4.4424,10.285200000000001,30.2868,0.0108,28.6272,87.336
HU23,18.9,4.4496,10.285200000000001,31.3956,0.0108,28.653599999999997,86.1444
HU31,18.8964,4.4478,10.285200000000001,31.014,0.0108,28.283400000000004,85.824
HU32,18.9,4.0878000000000005,10.285200000000001,31.719600000000003,0.0108,28.618799999999997,82.1952
HU33,18.8964,4.2678,11.217600000000001,30.8844,0.0108,27.7704,81.0468
IE,,,,,,344.9628,
IE01,31.0608,6.5969999999999995,11.217600000000001,43.506,0.108,32.9934,47.5704
IE02,31.0572,5.6952,11.217600000000001,43.1568,0.108,32.877,46.497600000000006
IS,,,,,,0.0,
IS00,,,,0.0,0.108,0.0,16.5744
IT,,,,,,489.55679999999995,
ITC1,32.068799999999996,4.7376000000000005,11.217600000000001,37.083600000000004,0.2628,40.918200000000006,157.72320000000002
ITC2,32.6124,4.5144,11.217600000000001,21.286800000000003,0.2628,54.597,150.2028
ITC3,31.723200000000002,4.647600000000001,8.586,20.311200000000003,0.2628,42.818999999999996,126.9288
ITC4,32.0544,4.734000000000001,8.586,38.27159999999999,0.2628,41.7954,164.0952
ITF1,31.989600000000003,4.5378,8.586,37.6344,0.2628,42.0744,144.5256
ITF2,31.878,4.329,8.586,40.449600000000004,0.2628,43.027800000000006,145.026
ITF3,31.9248,4.5198,8.586,36.064800000000005,0.2628,43.2252,145.9008
ITF4,31.831200000000003,4.3145999999999995,8.586,40.2696,0.2628,42.337799999999994,140.84640000000002
ITF5,31.870800000000003,4.5054,8.586,36.522000000000006,0.2628,44.715599999999995,145.11599999999999
ITF6,31.896,4.5126,8.586,37.8036,0.2628,42.6492,154.15560000000002
ITG1,31.870800000000003,4.5054,12.625200000000001,36.6984,0.2628,45.14340000000001,133.3404
ITG2,31.8564,4.3218,12.625200000000001,37.0908,0.2628,46.416599999999995,163.4796
ITH1,32.4216,4.6512,12.625200000000001,21.221999999999998,0.2628,46.777800000000006,142.4556
ITH2,32.4108,4.827600000000001,12.625200000000001,21.2472,0.2628,46.7622,141.9372
ITH3,31.9824,4.716,12.625200000000001,37.566,0.2628,41.4822,158.274
ITH4,32.0616,4.7358,12.625200000000001,38.93039999999999,0.2628,42.0642,153.43200000000002
ITH5,31.8636,4.683600000000001,12.625200000000001,37.746,0.2628,41.502,157.8852
ITI1,31.8636,4.683600000000001,12.625200000000001,36.5004,0.2628,40.2114,158.202
ITI2,31.878,4.3272,9.374400000000001,35.7156,0.2628,41.6988,145.2024
ITI3,31.881600000000002,4.5089999999999995,9.374400000000001,40.572,0.2628,40.693799999999996,160.9308
ITI4,31.9068,4.514399999999999,9.0144,40.6728,0.2628,41.6802,152.16840000000002
LT,,,,,,327.366,
LT00,,5.760000000000001,9.0144,31.6116,0.1188,34.668,22.1508
LT09,23.864400000000003,5.796,,,,13.6602,43.29
LU,,,,,,177.3468,
LU00,,,10.1988,0.0,0.4356,23.7708,15.199200000000001
LU09,34.095600000000005,,,,,23.364,
LV,,,,,,308.9052,
LV00,,5.760000000000001,9.0144,31.867200000000004,0.0,46.296,6.5952
LV09,22.514400000000002,5.6736,,,,12.8682,44.172000000000004
MD,0.0,,,,,0.0,
ME,13.9176,8.6022,,34.635600000000004,0.0,15.438342857142857,88.62480000000001
MK,0.0,0.0,10.0368,34.2,0.15839999999999999,64.39114285714285,90.2412
MO,,,10.2744,32.0688,0.15839999999999999,208.4292,100.3608
MT,,,,,,356.76,
MT00,28.4256,,,,0.0,46.9044,
NL,,,,,,379.4688,
NL11,29.595599999999997,3.8789999999999996,9.0144,45.2772,0.1872,42.4548,133.88400000000001
NL12,29.3256,4.0158,9.892800000000001,46.9116,0.1872,42.1584,101.1384
NL13,29.293200000000002,4.1886,9.892800000000001,44.7804,0.1872,42.852000000000004,102.63600000000001
NL21,29.3328,4.3848,9.892800000000001,44.6004,0.1872,41.9082,138.8952
NL22,29.3256,4.9176,9.892800000000001,44.6148,0.1872,40.242599999999996,136.0404
NL23,30.078000000000003,4.023,9.892800000000001,46.404,0.1872,41.602799999999995,136.8108
NL31,29.2536,3.9996,9.892800000000001,44.8164,0.1872,39.917399999999994,126.7164
NL32,29.203200000000002,3.9852,9.892800000000001,44.593199999999996,0.1872,41.1834,135.9468
NL33,29.322000000000003,3.8358,9.892800000000001,21.3444,0.1872,40.677,137.8908
NL34,28.753200000000003,3.6864000000000003,9.892800000000001,39.070800000000006,0.1872,40.507200000000005,130.2552
NL41,29.354400000000002,4.7646,9.892800000000001,44.4996,0.1872,41.037,134.00639999999999
NL42,29.4516,4.2894,9.892800000000001,43.5168,0.1872,39.7368,136.9512
NO,,,,,,375.23519999999996,
NO01,31.294800000000002,2.7216,10.1988,19.526400000000002,0.0108,31.999800000000004,60.674400000000006
NO02,31.352400000000003,2.7216,10.1988,19.526400000000002,0.0108,32.0094,65.0844
NO03,31.3416,3.7152000000000003,10.1988,19.526400000000002,0.0108,32.0076,54.73440000000001
NO04,31.3416,3.7152000000000003,10.1988,19.526400000000002,0.0108,32.0076,54.73440000000001
NO05,31.6044,3.7854,10.1988,19.526400000000002,0.0108,32.052,53.3844
NO06,31.3128,2.7216,10.1988,19.526400000000002,0.0108,32.002199999999995,62.330400000000004
NO07,31.3992,2.7216,10.1988,19.526400000000002,0.0108,32.0172,60.93000000000001
PL,,,,,,319.1184,
